dist,n,m,bfs_us,bfs_nodes,bfs_edges,bfs_mem,dfs_us,dfs_nodes,dfs_edges,dfs_mem,iddfs_us,iddfs_nodes,iddfs_edges,iddfs_mem,bfs_opt_us,bfs_opt_nodes,bfs_opt_edges,bfs_opt_mem,dfs_opt_us,dfs_opt_nodes,dfs_opt_edges,dfs_opt_mem
sparse,200,299,1,200,598,63,2,200,598,136,69,200,10358,47,1,200,598,63,2,200,598,95,
sparse,500,748,4,500,1496,171,7,500,1496,323,337,500,44385,77,4,500,1496,171,7,500,1496,195,
sparse,1000,1499,10,1000,2998,315,18,1000,2998,603,361,1000,47391,56,9,1000,2998,315,16,1000,2998,445,
sparse,2500,3748,43,2500,7496,800,60,2500,7496,1574,1231,2500,139315,66,45,2500,7496,800,61,2500,7496,1074,
sparse,5000,7499,102,5000,14998,1574,127,5000,14998,3193,4030,5000,426408,106,103,5000,14998,1574,120,5000,14998,2085,
sparse,10000,14999,222,10000,29998,3122,271,10000,29998,6284,8653,10000,784248,86,216,10000,29998,3122,253,10000,29998,4162,
dense,200,960,2,200,1920,133,6,200,1920,772,35,200,6704,70,2,200,1920,133,4,200,1920,170,
dense,500,2735,8,500,5470,354,24,500,5470,2258,118,500,20033,77,9,500,5470,354,18,500,5470,429,
dense,1000,5977,25,1000,11954,717,67,1000,11954,5024,390,1000,62957,110,21,1000,11954,717,36,1000,11954,865,
dense,2500,16602,78,2500,33204,1843,185,2500,33204,14202,1206,2500,193648,127,73,2500,33204,1843,99,2500,33204,2194,
dense,5000,35710,174,5000,71420,3720,410,5000,71420,30901,2914,5000,477470,163,174,5000,71420,3720,215,5000,71420,4459,
dense,10000,76429,440,10000,152858,7585,1026,10000,152858,66739,8090,10000,1081287,181,440,10000,152858,7585,543,10000,152858,8958,
tree,200,199,1,200,398,57,1,200,398,11,9,200,2639,11,1,200,398,57,1,200,398,9,
tree,500,499,2,500,998,119,3,500,998,13,22,500,6583,13,2,500,998,119,2,500,998,10,
tree,1000,999,7,1000,1998,219,8,1000,1998,14,82,1000,23753,14,7,1000,1998,219,6,1000,1998,16,
tree,2500,2499,23,2500,4998,472,24,2500,4998,15,272,2500,64609,15,19,2500,4998,472,23,2500,4998,18,
tree,5000,4999,53,5000,9998,901,54,5000,9998,17,711,5000,132289,17,47,5000,9998,901,63,5000,9998,19,
tree,10000,9999,110,10000,19998,1655,106,10000,19998,19,1642,10000,271085,19,119,10000,19998,1655,123,10000,19998,20,
path,200,199,1,200,398,1,1,200,398,1,130,200,39999,1,1,200,398,1,2,200,398,199,
path,500,499,3,500,998,1,3,500,998,1,734,500,249999,1,3,500,998,1,5,500,998,499,
path,1000,999,6,1000,1998,1,6,1000,1998,1,2916,1000,999999,1,6,1000,1998,1,12,1000,1998,999,
path,2500,2499,15,2500,4998,1,15,2500,4998,1,18093,2500,6249999,1,15,2500,4998,1,32,2500,4998,2499,
path,5000,4999,30,5000,9998,1,28,5000,9998,1,75596,5000,24999999,1,36,5000,9998,1,71,5000,9998,4999,
path,10000,9999,72,10000,19998,1,69,10000,19998,1,319405,10000,99999999,1,74,10000,19998,1,147,10000,19998,9999,
disconnected,200,186,2,200,372,12,2,200,372,6,10,200,1328,6,2,200,372,12,1,200,372,10,
disconnected,500,478,4,500,956,22,4,500,956,8,29,500,4462,8,3,500,956,22,3,500,956,12,
disconnected,1000,969,10,1000,1938,30,9,1000,1938,9,58,1000,10435,9,8,1000,1938,30,6,1000,1938,19,
disconnected,2500,2450,25,2500,4900,46,26,2500,4900,12,159,2500,30364,12,20,2500,4900,46,23,2500,4900,16,
disconnected,5000,4930,60,5000,9860,83,57,5000,9860,12,619,5000,63540,12,52,5000,9860,83,58,5000,9860,16,
disconnected,10000,9900,115,10000,19800,111,109,10000,19800,13,685,10000,133942,13,106,10000,19800,111,114,10000,19800,19,
